Area,Rooms,Price
1043,4,1300000
903,3,750000
1425,6,1495000
2231,10,2700000
1300,4,1530000
1250,5,460000
1032,6,532000
1200,5,1050000
2700,9,3500000
2016,7,1500000
1798,8,848000
761,4,1000000
780,4,863000
5786,12,4888000
1688,6,1000000
398,4,525000
2615,9,2300000
1252,4,1450000
1444,6,2500000
1200,5,171000
1265,5,871500
859,4,900000
1308,5,1020000
1429,6,1410500
1771,8,951000
1452,8,430000
1115,6,680000
2378,8,1440000
2063,10,1700000
2200,6,234000
1250,5,700000
970,5,744000
911,4,1100000
1621,6,1325000
2048,7,2525000
2080,7,2300000
1212,4,775000
1125,4,1457000
1846,5,1525000
1164,6,550000
4808,15,3800000
2520,8,1900000
706,3,620000
903,3,800000
1593,4,872500
2600,10,1535000
1902,6,1600000
2900,8,1625000
2435,7,2050000
1207,9,885000
1106,6,960000
935,3,825000
968,4,1065000
1950,7,1925000
1703,8,1250000
1463,7,1950000
1200,5,609000
2650,8,2350000
1700,5,1770000
2850,7,2800000
1252,4,1350000
1297,6,725000
1789,8,850000
1254,5,860000
713,3,885000
2166,11,1600000
1000,4,760000
2250,8,227500
1806,7,1300000
1200,5,810000
884,5,850000
2100,10,1950000
977,5,1030000
875,4,565000
697,4,762000
1539,7,950000
1118,5,1415000
1670,5,7500000
550,2,650000
1440,7,1275000
1480,5,1250000
2193,7,1225000
417,5,555000
2596,9,1900000
2200,7,1558000
969,4,658000
840,4,738000
1726,7,950000
1200,5,961000
950,4,695500
1000,3,976000
376,1,502000
800,4,675000
842,2,640000
1111,4,1650000
1325,6,860000
2234,3,1125000
4749,10,5100000
1591,9,1800000
3480,8,4500000
1853,9,1370000
1400,6,910000
1105,6,1475000
1201,4,1475000
450,2,640000
3291,7,4200000
1015,5,920000
941,5,945000
962,5,1250000
1393,6,1530000
1332,4,780000
590,5,1193000
2500,5,1400000
2610,13,2210000
2451,12,2400000
1362,6,890000
1622,9,1325000
765,12,815000
1990,8,1240000
1824,6,1700000
4095,9,3750000
1875,7,417000
2837,9,2600000
787,3,825000
1577,6,1680000
805,4,578000
1193,4,750000
1675,7,1150000
1125,4,638000
2200,8,851000
